Bill Short Title,Status,Sponsor,Date
Appropriation (Parliament) Bill 2024,Introduced,Hon C Dick MP,11/6/2024
Appropriation (Parliament) Bill 2024,PASSED,Hon C Dick MP,21/8/2024
Appropriation (Parliament) Bill 2024,Assent,Hon C Dick MP,30/8/2024
Appropriation Bill 2024,Introduced,Hon C Dick MP,11/6/2024
Appropriation Bill 2024,PASSED,Hon C Dick MP,21/8/2024
Appropriation Bill 2024,Assent,Hon C Dick MP,30/8/2024
Arts (Statutory Bodies) and Other Legislation Amendment Bill 2024,Introduced,Hon L Enoch MP,11/9/2024
Arts (Statutory Bodies) and Other Legislation Amendment Bill 2024,Lapsed,Hon L Enoch MP,1/10/2024
Assisted Reproductive Technology Bill 2024,Introduced,Hon S Fentiman MP,22/5/2024
Assisted Reproductive Technology Bill 2024,PASSED,Hon S Fentiman MP,10/9/2024
Assisted Reproductive Technology Bill 2024,Assent,Hon S Fentiman MP,19/9/2024
Brisbane Olympic and Paralympic Games Arrangements Amendment Bill 2024,Introduced,Hon G Grace MP,17/4/2024
Brisbane Olympic and Paralympic Games Arrangements Amendment Bill 2024,PASSED with amendment,Hon G Grace MP,23/5/2024
Brisbane Olympic and Paralympic Games Arrangements Amendment Bill 2024,Assent,Hon G Grace MP,6/6/2024
Building Industry Fairness (Security of Payment) and Other Legislation Amendment Bill 2024,Introduced,Hon M Scanlon MP,14/2/2024
Building Industry Fairness (Security of Payment) and Other Legislation Amendment Bill 2024,PASSED,Hon M Scanlon MP,16/4/2024
Building Industry Fairness (Security of Payment) and Other Legislation Amendment Bill 2024,Assent,Hon M Scanlon MP,26/4/2024
Cheaper Power (Supplementary Appropriation) Bill 2024,Introduced,Hon C Dick MP,2/5/2024
Cheaper Power (Supplementary Appropriation) Bill 2024,PASSED,Hon C Dick MP,22/5/2024
Cheaper Power (Supplementary Appropriation) Bill 2024,Assent,Hon C Dick MP,6/6/2024
Child Safe Organisations Bill 2024,Introduced,Hon C Mullen MP,12/6/2024
Child Safe Organisations Bill 2024,PASSED,Hon C Mullen MP,11/9/2024
Child Safe Organisations Bill 2024,Assent,Hon C Mullen MP,19/9/2024
Clean Economy Jobs Bill 2024,Introduced,Hon S Miles MP,14/2/2024
Clean Economy Jobs Bill 2024,PASSED with amendment,Hon S Miles MP,18/4/2024
Clean Economy Jobs Bill 2024,Assent,Hon S Miles MP,26/4/2024
Corrective Services (Promoting Safety) and Other Legislation Amendment Bill 2024,Introduced,Hon N Boyd MP,13/2/2024
Corrective Services (Promoting Safety) and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon N Boyd MP,21/5/2024
Corrective Services (Promoting Safety) and Other Legislation Amendment Bill 2024,Assent,Hon N Boyd MP,6/6/2024
Crime and Corruption (Reporting) Amendment Bill 2024,Introduced,Hon Y D'Ath MP,10/9/2024
Crime and Corruption (Reporting) Amendment Bill 2024,Lapsed,Hon Y D'Ath MP,1/10/2024
Crime and Corruption and Other Legislation Amendment Bill 2024,Introduced,Hon Y D'Ath MP,15/2/2024
Crime and Corruption and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon Y D'Ath MP,20/8/2024
Crime and Corruption and Other Legislation Amendment Bill 2024,Assent,Hon Y D'Ath MP,30/8/2024
Criminal Code (Decriminalising Sex Work) and Other Legislation Amendment Bill 2024,Introduced,Hon Y D'Ath MP,15/2/2024
Criminal Code (Decriminalising Sex Work) and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon Y D'Ath MP,2/5/2024
Criminal Code (Decriminalising Sex Work) and Other Legislation Amendment Bill 2024,Assent,Hon Y D'Ath MP,9/5/2024
Criminal Code (Defence of Dwellings and Other Premises—Castle Law) Amendment Bill 2024 *,Introduced,Mr N Dametto MP,1/5/2024
Criminal Code (Defence of Dwellings and Other Premises—Castle Law) Amendment Bill 2024 *,Lapsed,Mr N Dametto MP,1/10/2024
Criminal Justice Legislation (Sexual Violence and Other Matters) Amendment Bill 2024,Introduced,Hon Y D'Ath MP,21/5/2024
Criminal Justice Legislation (Sexual Violence and Other Matters) Amendment Bill 2024,PASSED with amendment,Hon Y D'Ath MP,10/9/2024
Criminal Justice Legislation (Sexual Violence and Other Matters) Amendment Bill 2024,Assent,Hon Y D'Ath MP,19/9/2024
Crocodile Control and Conservation Bill 2024 *,Introduced,Mr S Knuth MP,22/5/2024
Crocodile Control and Conservation Bill 2024 *,Discharged,Mr S Knuth MP,21/8/2024
"Crocodile Control, Conservation and Safety Bill 2024 *",Introduced,Mr S Knuth MP,21/8/2024
"Crocodile Control, Conservation and Safety Bill 2024 *",Lapsed,Mr S Knuth MP,1/10/2024
Cross-Border Commissioner Bill 2024,Introduced,Hon G Butcher MP,20/8/2024
Cross-Border Commissioner Bill 2024,PASSED,Hon G Butcher MP,21/8/2024
Cross-Border Commissioner Bill 2024,Assent,Hon G Butcher MP,23/8/2024
Disability Services (Restrictive Practices) and Other Legislation Amendment Bill 2024,Introduced,Hon C Mullen MP,14/6/2024
Disability Services (Restrictive Practices) and Other Legislation Amendment Bill 2024,Lapsed,Hon C Mullen MP,1/10/2024
Disaster Management and Other Legislation Amendment Bill 2024,Introduced,Hon N Boyd MP,7/3/2024
Disaster Management and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon N Boyd MP,2/5/2024
Disaster Management and Other Legislation Amendment Bill 2024,Assent,Hon N Boyd MP,9/5/2024
Economic Development and Other Legislation Amendment Bill 2024,Introduced,Hon G Grace MP,20/3/2024
Economic Development and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon G Grace MP,11/6/2024
Economic Development and Other Legislation Amendment Bill 2024,Assent,Hon G Grace MP,18/6/2024
Education (General Provisions) and Other Legislation Amendment Bill 2024,Introduced,Hon D Farmer MP,6/3/2024
Education (General Provisions) and Other Legislation Amendment Bill 2024,Lapsed,Hon D Farmer MP,1/10/2024
Electrical Safety and Other Legislation Amendment Bill 2024,Introduced,Hon G Grace MP,22/5/2024
Electrical Safety and Other Legislation Amendment Bill 2024,PASSED,Hon G Grace MP,22/8/2024
Electrical Safety and Other Legislation Amendment Bill 2024,Assent,Hon G Grace MP,30/8/2024
Environmental Protection (Powers and Penalties) and Other Legislation Amendment Bill 2024,Introduced,Hon L Linard MP,13/2/2024
Environmental Protection (Powers and Penalties) and Other Legislation Amendment Bill 2024,PASSED,Hon L Linard MP,11/6/2024
Environmental Protection (Powers and Penalties) and Other Legislation Amendment Bill 2024,Assent,Hon L Linard MP,18/6/2024
Health Practitioner Regulation National Law and Other Legislation Amendment Bill,Introduced,Hon S Fentiman MP,11/9/2024
Health Practitioner Regulation National Law and Other Legislation Amendment Bill,Lapsed,Hon S Fentiman MP,1/10/2024
Help to Buy (Commonwealth Powers) Bill 2024,Introduced,Hon M Scanlon MP,2/5/2024
Help to Buy (Commonwealth Powers) Bill 2024,PASSED,Hon M Scanlon MP,11/6/2024
Help to Buy (Commonwealth Powers) Bill 2024,Assent,Hon M Scanlon MP,18/6/2024
Manufactured Homes (Residential Parks) Amendment Bill 2024,Introduced,Hon M Scanlon MP,21/3/2024
Manufactured Homes (Residential Parks) Amendment Bill 2024,PASSED with amendment,Hon M Scanlon MP,23/5/2024
Manufactured Homes (Residential Parks) Amendment Bill 2024,Assent,Hon M Scanlon MP,6/6/2024
Mineral and Energy Resources and Other Legislation Amendment Bill 2024,Introduced,Hon S Stewart MP,18/4/2024
Mineral and Energy Resources and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon S Stewart MP,12/6/2024
Mineral and Energy Resources and Other Legislation Amendment Bill 2024,Assent,Hon S Stewart MP,18/6/2024
Mount Isa Mines Limited Agreement (Continuing Mining Activities) Amendment Bill 2024 *,Introduced,Mr R Katter MP,1/5/2024
Mount Isa Mines Limited Agreement (Continuing Mining Activities) Amendment Bill 2024 *,Lapsed,Mr R Katter MP,1/10/2024
Night-Life Economy Commissioner Bill 2024,Introduced,Hon L McCallum MP,20/8/2024
Night-Life Economy Commissioner Bill 2024,PASSED,Hon L McCallum MP,21/8/2024
Night-Life Economy Commissioner Bill 2024,Assent,Hon L McCallum MP,23/8/2024
Police Powers and Responsibilities and Other Legislation Amendment Bill 2024,Introduced,Hon N Boyd MP,21/3/2024
Police Powers and Responsibilities and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon N Boyd MP,21/5/2024
Police Powers and Responsibilities and Other Legislation Amendment Bill 2024,Assent,Hon N Boyd MP,6/6/2024
Progressive Coal Royalties Protection (Keep Them in the Bank) Bill 2024,Introduced,Hon C Dick MP,23/5/2024
Progressive Coal Royalties Protection (Keep Them in the Bank) Bill 2024,PASSED,Hon C Dick MP,12/9/2024
Progressive Coal Royalties Protection (Keep Them in the Bank) Bill 2024,Assent,Hon C Dick MP,19/9/2024
Public-Private Partnership (Transparency and Accountability) Bill 2024 *,Introduced,Mr S Andrew MP,21/8/2024
Public-Private Partnership (Transparency and Accountability) Bill 2024 *,Lapsed,Mr S Andrew MP,1/10/2024
Queensland Community Safety Bill 2024,Introduced,Hon M Ryan MP,1/5/2024
Queensland Community Safety Bill 2024,PASSED with amendment,Hon M Ryan MP,22/8/2024
Queensland Community Safety Bill 2024,Assent,Hon M Ryan MP,30/8/2024
Queensland Food Farmers’ Commissioner Bill 2024,Introduced,Hon G Butcher MP,20/8/2024
Queensland Food Farmers’ Commissioner Bill 2024,PASSED,Hon G Butcher MP,21/8/2024
Queensland Food Farmers’ Commissioner Bill 2024,Assent,Hon G Butcher MP,23/8/2024
Residential Tenancies and Rooming Accommodation and Other Legislation Amendment Bill 2024,Introduced,Hon M Scanlon MP,21/3/2024
Residential Tenancies and Rooming Accommodation and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon M Scanlon MP,23/5/2024
Residential Tenancies and Rooming Accommodation and Other Legislation Amendment Bill 2024,Assent,Hon M Scanlon MP,6/6/2024
Resources Safety and Health Legislation Amendment Bill 2024,Introduced,Hon S Stewart MP,18/4/2024
Resources Safety and Health Legislation Amendment Bill 2024,PASSED with amendment,Hon S Stewart MP,12/6/2024
Resources Safety and Health Legislation Amendment Bill 2024,Assent,Hon S Stewart MP,18/6/2024
Respect at Work and Other Matters Amendment Bill 2024,Introduced,Hon Y D'Ath MP,14/6/2024
Respect at Work and Other Matters Amendment Bill 2024,PASSED with amendment,Hon Y D'Ath MP,10/9/2024
Respect at Work and Other Matters Amendment Bill 2024,Assent,Hon Y D'Ath MP,19/9/2024
Revenue and Other Legislation Amendment Bill 2024,Introduced,Hon C Dick MP,11/6/2024
Revenue and Other Legislation Amendment Bill 2024,PASSED,Hon C Dick MP,14/6/2024
Revenue and Other Legislation Amendment Bill 2024,Assent,Hon C Dick MP,18/6/2024
State Financial Institutions and Metway Merger Amendment Bill 2024,Introduced,Hon C Dick MP,16/4/2024
State Financial Institutions and Metway Merger Amendment Bill 2024,PASSED,Hon C Dick MP,14/6/2024
State Financial Institutions and Metway Merger Amendment Bill 2024,Assent,Hon C Dick MP,18/6/2024
Termination of Pregnancy (Live Births) Amendment Bill 2024 *,Introduced,Mr R Katter MP,20/3/2024
Termination of Pregnancy (Live Births) Amendment Bill 2024 *,Lapsed,Mr R Katter MP,1/10/2024
Tobacco and Other Smoking Products (Vaping) and Other Legislation Amendment Bill 2024,Introduced,Hon S Fentiman MP,12/6/2024
Tobacco and Other Smoking Products (Vaping) and Other Legislation Amendment Bill 2024,PASSED with amendment,Hon S Fentiman MP,11/9/2024
Tobacco and Other Smoking Products (Vaping) and Other Legislation Amendment Bill 2024,Assent,Hon S Fentiman MP,19/9/2024
Trusts Bill 2024,Introduced,Hon Y D'Ath MP,21/5/2024
Trusts Bill 2024,Lapsed,Hon Y D'Ath MP,1/10/2024
Victims' Commissioner and Sexual Violence Review Board Bill 2024,Introduced,Hon L Linard MP,6/3/2024
